executable,category,np,size,time_sec
mpi_primosNaiveBsendIRecv,primosNaive,4,1000,0.41
mpi_primosNaiveBsendRecv,primosNaive,4,1000,0.32
mpi_primosNaiveISendIRecv,primosNaive,4,1000,0.33
mpi_primosNaiveISendRecv,primosNaive,4,1000,0.32
mpi_primosNaiveRSendIRecv,primosNaive,4,1000,0.34
mpi_primosNaiveRSendRecv,primosNaive,4,1000,0.32
mpi_primosNaiveSSendIRecv,primosNaive,4,1000,0.33
mpi_primosNaiveSSendRecv,primosNaive,4,1000,0.33
mpi_primosNaiveSendIRecv,primosNaive,4,1000,0.33
mpi_primosNaiveSendRecv,primosNaive,4,1000,0.33
mpi_primosbagBsendRecv,primosBag,4,1000,0.35
mpi_primosbagISendIRecv,primosBag,4,1000,0.35
mpi_primosbagISendRecv,primosBag,4,1000,0.34
mpi_primosbagRSendIRecv,primosBag,4,1000,0.33
mpi_primosbagRSendRecv,primosBag,4,1000,0.33
mpi_primosbagSSendIRecv,primosBag,4,1000,0.33
mpi_primosbagSSendRecv,primosBag,4,1000,0.35
mpi_primosbagSendIRecv,primosBag,4,1000,0.38
mpi_primosbagSendRecv,primosBag,4,1000,0.32
